Wlgth,"Reflectivity (P-Pol, 5°)",Wlgth,"GDD (P-Pol, 5°)"
960.3469,99.9998,960.3469,-196.998
960.4537,99.9998,960.4537,-196.955
960.5606,99.9998,960.5606,-196.913
960.6674,99.9998,960.6674,-196.872
960.7743,99.9998,960.7743,-196.831
960.8812,99.9998,960.8812,-196.792
960.9881,99.9998,960.9881,-196.753
961.095,99.9998,961.095,-196.715
961.202,99.9998,961.202,-196.679
961.309,99.9998,961.309,-196.643
961.416,99.9998,961.416,-196.608
961.523,99.9998,961.523,-196.574
961.6301,99.9998,961.6301,-196.541
961.7372,99.9998,961.7372,-196.509
961.8443,99.9998,961.8443,-196.478
961.9514,99.9998,961.9514,-196.448
962.0586,99.9998,962.0586,-196.419
962.1658,99.9998,962.1658,-196.391
962.273,99.9998,962.273,-196.364
962.3802,99.9998,962.3802,-196.338
962.4875,99.9998,962.4875,-196.313
962.5947,99.9998,962.5947,-196.289
962.702,99.9998,962.702,-196.266
962.8094,99.9998,962.8094,-196.244
962.9167,99.9998,962.9167,-196.223
963.0241,99.9998,963.0241,-196.203
963.1315,99.9998,963.1315,-196.184
963.2389,99.9998,963.2389,-196.167
963.3463,99.9998,963.3463,-196.15
963.4538,99.9998,963.4538,-196.134
963.5613,99.9998,963.5613,-196.12
963.6688,99.9998,963.6688,-196.106
963.7764,99.9998,963.7764,-196.094
963.8839,99.9998,963.8839,-196.082
963.9915,99.9998,963.9915,-196.072
964.0991,99.9998,964.0991,-196.063
964.2068,99.9998,964.2068,-196.054
964.3144,99.9998,964.3144,-196.047
964.4221,99.9998,964.4221,-196.041
964.5298,99.9998,964.5298,-196.036
964.6376,99.99979,964.6376,-196.032
964.7453,99.99979,964.7453,-196.03
964.8531,99.99979,964.8531,-196.028
964.9609,99.99979,964.9609,-196.027
965.0687,99.99979,965.0687,-196.028
965.1766,99.99979,965.1766,-196.029
965.2845,99.99979,965.2845,-196.032
965.3924,99.99979,965.3924,-196.036
965.5003,99.99979,965.5003,-196.04
965.6082,99.99979,965.6082,-196.046
965.7162,99.99979,965.7162,-196.053
965.8242,99.99979,965.8242,-196.061
965.9322,99.99978,965.9322,-196.07
966.0403,99.99978,966.0403,-196.08
966.1483,99.99978,966.1483,-196.091
966.2564,99.99978,966.2564,-196.104
966.3646,99.99978,966.3646,-196.117
966.4727,99.99978,966.4727,-196.131
966.5809,99.99978,966.5809,-196.147
966.6891,99.99978,966.6891,-196.163
966.7973,99.99978,966.7973,-196.181
966.9055,99.99977,966.9055,-196.199
967.0138,99.99977,967.0138,-196.219
967.1221,99.99977,967.1221,-196.239
967.2304,99.99977,967.2304,-196.261
967.3387,99.99977,967.3387,-196.284
967.4471,99.99977,967.4471,-196.307
967.5555,99.99977,967.5555,-196.332
967.6639,99.99977,967.6639,-196.357
967.7723,99.99976,967.7723,-196.384
967.8808,99.99976,967.8808,-196.412
967.9892,99.99976,967.9892,-196.44
968.0977,99.99976,968.0977,-196.47
968.2063,99.99976,968.2063,-196.501
968.3148,99.99976,968.3148,-196.532
968.4234,99.99975,968.4234,-196.564
968.532,99.99975,968.532,-196.598
968.6406,99.99975,968.6406,-196.632
968.7493,99.99975,968.7493,-196.667
968.858,99.99975,968.858,-196.704
968.9667,99.99974,968.9667,-196.741
969.0754,99.99974,969.0754,-196.779
969.1842,99.99974,969.1842,-196.817
969.2929,99.99974,969.2929,-196.857
969.4017,99.99974,969.4017,-196.898
969.5106,99.99973,969.5106,-196.939
969.6194,99.99973,969.6194,-196.981
969.7283,99.99973,969.7283,-197.024
