	Simulated 
	actual 
1025.369267	-490.2917944
1025.403691	-490.4532768
1025.438117	-490.6140327
1025.472545	-490.7740613
1025.506976	-490.9333615
1025.541409	-491.0919324
1025.575844	-491.2497731
1025.610282	-491.4068827
1025.644722	-491.5632604
1025.679164	-491.7189051
1025.713609	-491.8738161
1025.748056	-492.0279924
1025.782505	-492.1814333
1025.81031	-492.304736
1025.816957	-492.3341379
1025.851411	-492.4861053
1025.885867	-492.6373348
1025.920326	-492.7878255
1025.954786	-492.9375767
1025.98925	-493.0865875
1026.023715	-493.2348572
1026.058183	-493.3823851
1026.092653	-493.5291705
1026.127125	-493.6752124
1026.1616	-493.8205104
1026.196077	-493.9650636
1026.230557	-494.1088714
1026.265038	-494.2519331
1026.297492	-494.3858918
1026.334009	-494.5358155
1026.368497	-494.676635
1026.402988	-494.8167057
1026.437481	-494.9560272
1026.471977	-495.0945987
1026.506475	-495.2324198
1026.540975	-495.3694898
1026.575478	-495.5058081
1026.609983	-495.6413743
1026.64449	-495.7761879
1026.678999	-495.9102481
1026.713511	-496.0435547
1026.748025	-496.1761071
1026.782542	-496.3079047
1026.817061	-496.4389472
1026.851582	-496.5692341
1026.886105	-496.6987649
1026.920631	-496.8275393
1026.955159	-496.9555568
1026.989689	-497.082817
1027.024222	-497.2093195
1027.058757	-497.3350641
1027.093295	-497.4600503
1027.127834	-497.5842778
1027.162376	-497.7077462
1027.196921	-497.8304553
1027.231467	-497.9524048
1027.266016	-498.0735944
1027.273246	-498.0988569
1027.300568	-498.1940238
1027.335121	-498.3136928
1027.369677	-498.4326012
1027.404235	-498.5507487
1027.438796	-498.6681351
1027.473359	-498.7847602
1027.507924	-498.900624
1027.542492	-499.0157261
1027.577062	-499.1300665
1027.611634	-499.243645
1027.646209	-499.3564615
1027.680785	-499.468516
1027.715365	-499.5798083
1027.749946	-499.6903384
1027.761819	-499.728108
1027.78453	-499.8001062
1027.819116	-499.9091118
1027.853705	-500.017355
1027.888296	-500.1248358
1027.922889	-500.2315544
1027.957484	-500.3375107
1027.992082	-500.4427047
1028.026682	-500.5471366
1028.061285	-500.6508063
1028.09589	-500.7537141
1028.130497	-500.8558599
1028.165106	-500.957244
1028.199718	-501.0578665
1028.234332	-501.1577274
1028.250856	-501.2051284
1028.268949	-501.2568271
1028.303568	-501.3551657
1028.338189	-501.4527434
1028.372812	-501.5495604
1028.407438	-501.645617
1028.442066	-501.7409134
1028.476697	-501.8354499
1028.511329	-501.9292268
