Wlgth	Rp _	Wlgth	GDDrs _
880.9357043	99.99812606	880.9357043	-235.0689018
881.1004744	99.99810684	881.1004744	-234.4822836
881.2653061	99.99808795	881.2653061	-233.8642802
881.4301995	99.9980694	881.4301995	-233.2160621
881.5951546	99.99805121	881.5951546	-232.5388606
881.7601715	99.9980334	881.7601715	-231.8339653
881.9252502	99.99801597	881.9252502	-231.1027206
882.0903907	99.99799895	882.0903907	-230.3465228
882.255593	99.99798233	882.255593	-229.5668167
882.4208572	99.99796613	882.4208572	-228.7650919
882.5861834	99.99795036	882.5861834	-227.9428793
882.7515715	99.99793502	882.7515715	-227.1017469
882.9170216	99.99792012	882.9170216	-226.2432965
883.0825338	99.99790565	883.0825338	-225.3691589
883.248108	99.99789161	883.248108	-224.4809901
883.4137443	99.99787801	883.4137443	-223.5804667
883.5794428	99.99786484	883.5794428	-222.6692819
883.7452034	99.9978521	883.7452034	-221.7491406
883.9110262	99.99783977	883.9110262	-220.8217553
884.0769113	99.99782785	884.0769113	-219.8888411
884.2428586	99.99781634	884.2428586	-218.9521112
